名称,类型,默认显示,描述,表格类型
int_to_talcap,float,Y,带息债务/全部投入资本,fina_indicator
eqt_to_talcapital,float,Y,归属于母公司的股东权益/全部投入资本,fina_indicator
currentdebt_to_debt,float,Y,流动负债/负债合计,fina_indicator
longdeb_to_debt,float,Y,非流动负债/负债合计,fina_indicator
ocf_to_shortdebt,float,Y,经营活动产生的现金流量净额/流动负债,fina_indicator
debt_to_eqt,float,Y,产权比率,fina_indicator
eqt_to_debt,float,Y,归属于母公司的股东权益/负债合计,fina_indicator
eqt_to_interestdebt,float,Y,归属于母公司的股东权益/带息债务,fina_indicator
tangibleasset_to_debt,float,Y,有形资产/负债合计,fina_indicator
tangasset_to_intdebt,float,Y,有形资产/带息债务,fina_indicator
tangibleasset_to_netdebt,float,Y,有形资产/净债务,fina_indicator
ocf_to_debt,float,Y,经营活动产生的现金流量净额/负债合计,fina_indicator
ocf_to_interestdebt,float,N,经营活动产生的现金流量净额/带息债务,fina_indicator
ocf_to_netdebt,float,N,经营活动产生的现金流量净额/净债务,fina_indicator
ebit_to_interest,float,N,已获利息倍数(EBIT/利息费用),fina_indicator
longdebt_to_workingcapital,float,N,长期债务与营运资金比率,fina_indicator
ebitda_to_debt,float,N,息税折旧摊销前利润/负债合计,fina_indicator
turn_days,float,Y,营业周期,fina_indicator
roa_yearly,float,Y,年化总资产净利率,fina_indicator
roa_dp,float,Y,总资产净利率(杜邦分析),fina_indicator
fixed_assets,float,Y,固定资产合计,fina_indicator
profit_prefin_exp,float,N,扣除财务费用前营业利润,fina_indicator
non_op_profit,float,N,非营业利润,fina_indicator
op_to_ebt,float,N,营业利润／利润总额,fina_indicator
nop_to_ebt,float,N,非营业利润／利润总额,fina_indicator
ocf_to_profit,float,N,经营活动产生的现金流量净额／营业利润,fina_indicator
cash_to_liqdebt,float,N,货币资金／流动负债,fina_indicator
cash_to_liqdebt_withinterest,float,N,货币资金／带息流动负债,fina_indicator
op_to_liqdebt,float,N,营业利润／流动负债,fina_indicator
op_to_debt,float,N,营业利润／负债合计,fina_indicator
roic_yearly,float,N,年化投入资本回报率,fina_indicator
total_fa_trun,float,N,固定资产合计周转率,fina_indicator
profit_to_op,float,Y,利润总额／营业收入,fina_indicator
q_opincome,float,N,经营活动单季度净收益,fina_indicator
q_investincome,float,N,价值变动单季度净收益,fina_indicator
q_dtprofit,float,N,扣除非经常损益后的单季度净利润,fina_indicator
q_eps,float,N,每股收益(单季度),fina_indicator
q_netprofit_margin,float,N,销售净利率(单季度),fina_indicator
q_gsprofit_margin,float,N,销售毛利率(单季度),fina_indicator
q_exp_to_sales,float,N,销售期间费用率(单季度),fina_indicator
q_profit_to_gr,float,N,净利润／营业总收入(单季度),fina_indicator
q_saleexp_to_gr,float,Y,销售费用／营业总收入 (单季度),fina_indicator
q_adminexp_to_gr,float,N,管理费用／营业总收入 (单季度),fina_indicator
q_finaexp_to_gr,float,N,财务费用／营业总收入 (单季度),fina_indicator
q_impair_to_gr_ttm,float,N,资产减值损失／营业总收入(单季度),fina_indicator
q_gc_to_gr,float,Y,营业总成本／营业总收入 (单季度),fina_indicator
q_op_to_gr,float,N,营业利润／营业总收入(单季度),fina_indicator
q_roe,float,Y,净资产收益率(单季度),fina_indicator
q_dt_roe,float,Y,净资产单季度收益率(扣除非经常损益),fina_indicator
q_npta,float,Y,总资产净利润(单季度),fina_indicator
q_opincome_to_ebt,float,N,经营活动净收益／利润总额(单季度),fina_indicator
q_investincome_to_ebt,float,N,价值变动净收益／利润总额(单季度),fina_indicator
q_dtprofit_to_profit,float,N,扣除非经常损益后的净利润／净利润(单季度),fina_indicator
q_salescash_to_or,float,N,销售商品提供劳务收到的现金／营业收入(单季度),fina_indicator
q_ocf_to_sales,float,Y,经营活动产生的现金流量净额／营业收入(单季度),fina_indicator
q_ocf_to_or,float,N,经营活动产生的现金流量净额／经营活动净收益(单季度),fina_indicator
basic_eps_yoy,float,Y,基本每股收益同比增长率(%),fina_indicator
dt_eps_yoy,float,Y,稀释每股收益同比增长率(%),fina_indicator
cfps_yoy,float,Y,每股经营活动产生的现金流量净额同比增长率(%),fina_indicator
op_yoy,float,Y,营业利润同比增长率(%),fina_indicator
ebt_yoy,float,Y,利润总额同比增长率(%),fina_indicator
netprofit_yoy,float,Y,归属母公司股东的净利润同比增长率(%),fina_indicator
dt_netprofit_yoy,float,Y,归属母公司股东的净利润-扣除非经常损益同比增长率(%),fina_indicator
ocf_yoy,float,Y,经营活动产生的现金流量净额同比增长率(%),fina_indicator
roe_yoy,float,Y,净资产收益率(摊薄)同比增长率(%),fina_indicator
bps_yoy,float,Y,每股净资产相对年初增长率(%),fina_indicator
assets_yoy,float,Y,资产总计相对年初增长率(%),fina_indicator
eqt_yoy,float,Y,归属母公司的股东权益相对年初增长率(%),fina_indicator
tr_yoy,float,Y,营业总收入同比增长率(%),fina_indicator
or_yoy,float,Y,营业收入同比增长率(%),fina_indicator
q_gr_yoy,float,N,营业总收入同比增长率(%)(单季度),fina_indicator
q_gr_qoq,float,N,营业总收入环比增长率(%)(单季度),fina_indicator
q_sales_yoy,float,Y,营业收入同比增长率(%)(单季度),fina_indicator
q_sales_qoq,float,N,营业收入环比增长率(%)(单季度),fina_indicator
q_op_yoy,float,N,营业利润同比增长率(%)(单季度),fina_indicator
q_op_qoq,float,Y,营业利润环比增长率(%)(单季度),fina_indicator
q_profit_yoy,float,N,净利润同比增长率(%)(单季度),fina_indicator
q_profit_qoq,float,N,净利润环比增长率(%)(单季度),fina_indicator
q_netprofit_yoy,float,N,归属母公司股东的净利润同比增长率(%)(单季度),fina_indicator
q_netprofit_qoq,float,N,归属母公司股东的净利润环比增长率(%)(单季度),fina_indicator
equity_yoy,float,Y,净资产同比增长率,fina_indicator
rd_exp,float,N,研发费用,fina_indicator
update_flag,str,N,更新标识,fina_indicator
